Date,Close,High,Low,Open,Volume
24-03-2022,171.2944336,171.3633096,167.4959813,168.3324189,90131400
25-03-2022,171.9340515,172.4851198,169.9954624,171.1074491,80546200
28-03-2022,172.8000336,172.9279505,169.2574302,169.4247177,90371900
29-03-2022,176.1064758,176.1556666,173.5282417,173.8726669,100589400
30-03-2022,174.9354401,176.7460974,173.8824941,175.7030017,92633200
31-03-2022,171.8257904,175.1912557,171.6191323,175.0042829,103049300
01-04-2022,171.5305939,172.0915123,169.1983887,171.2550597,78751300
04-04-2022,175.5947266,175.6439323,171.6585077,171.7864396,76468400
05-04-2022,172.2686005,175.4569429,171.6388061,174.6696962,73401800
06-04-2022,169.0901489,170.8614507,167.4172587,169.6116968,89058800
07-04-2022,169.3952026,170.5957508,167.1417236,168.4308331,77594700
08-04-2022,167.3778992,169.0409544,166.5020909,169.0409544,76575500
11-04-2022,163.1070862,166.3347848,162.8610725,166.0198951,72246700
12-04-2022,164.9866333,167.161386,163.9828932,165.3408936,79265200
13-04-2022,167.6829376,168.3127321,164.1108288,164.720938,70618900
14-04-2022,162.6544189,168.5390777,162.4084052,167.8994331,75329400
18-04-2022,162.4379578,163.9435606,160.9618753,161.3062856,69023900
19-04-2022,164.7307739,165.1440902,161.2964322,162.3887336,67723800
20-04-2022,164.5634918,166.1871914,163.45152,166.0690946,67929800
21-04-2022,163.7664032,168.794924,163.2645406,166.2167051,87227800
22-04-2022,159.2102356,165.1932912,158.9248663,163.8057852,84882400
25-04-2022,160.2828522,160.5682215,155.9333317,158.5509061,96046400
26-04-2022,154.2998199,159.7514778,154.2210937,159.6629164,95623200
27-04-2022,154.0734711,157.2421138,152.9024434,153.4239913,88063200
28-04-2022,161.0307312,161.8967043,156.3958264,156.7107311,130216800
29-04-2022,155.1362305,163.5499019,154.7426146,159.2594224,131747600
02-05-2022,155.4413147,155.7069987,150.8260949,154.2112461,123055300
03-05-2022,156.9370422,158.1474404,153.8274407,155.6282477,88966500
04-05-2022,163.372757,163.8254137,156.7205379,157.1240039,108256500
05-05-2022,154.2702637,161.4637013,152.4792769,161.2373729,130525300
06-05-2022,154.9995575,157.1282427,151.9444991,153.7479673,116124600
09-05-2022,149.8552399,153.5705819,149.2935123,152.6836222,131577900
10-05-2022,152.2696838,154.4673609,150.7125912,153.265049,115366700
11-05-2022,144.3758392,153.1960667,143.6958414,151.2743435,142689800
12-05-2022,140.4929657,144.0801873,136.7874888,140.6999274,182602000
13-05-2022,144.9770203,145.9526714,141.0350171,142.4935541,113990900
16-05-2022,143.4297638,145.381066,142.0894823,143.4396284,86643800
17-05-2022,147.0761261,147.5984403,144.5532317,146.701631,78336300
18-05-2022,138.7781982,145.2233654,137.8715245,144.7207655,109742900
19-05-2022,135.3585358,139.6060416,134.6194102,137.8518515,136095600
20-05-2022,135.595047,138.659955,130.6872574,137.0732981,137426100
23-05-2022,141.0350037,141.1828227,135.6541633,135.7921328,117726300
24-05-2022,138.3248749,139.9115316,135.338809,138.7683472,104132700
25-05-2022,138.4825745,139.7341496,136.3341749,136.4228664,92482700
26-05-2022,141.695282,142.2471599,135.1515583,135.3979334,90601500
27-05-2022,147.4703217,147.5097351,143.1538239,143.2819438,90978500
31-05-2022,146.6819153,148.4755337,144.710914,146.9085913,103718400
01-06-2022,146.5538025,149.5398681,145.538723,147.7265356,74286600
02-06-2022,149.0175629,149.0766905,144.7306289,145.6865658,72348100
03-06-2022,143.2720947,145.8245379,142.3654359,144.7700449,88570300
06-06-2022,144.0210724,146.4158469,142.7990461,144.8981674,71598400
07-06-2022,146.5538025,146.8395911,142.0106441,142.2570192,67808200
08-06-2022,145.814682,147.6969768,145.3219317,146.4256876,53950200
09-06-2022,140.5718079,145.8048137,140.4634022,144.947433,69473000
10-06-2022,135.1417542,138.7191125,135.0727619,138.2460762,91437900
13-06-2022,129.967865,133.2397202,129.5342422,130.9435013,122207100
14-06-2022,130.8350677,131.9486884,129.5736281,131.1997132,84784300
15-06-2022,133.4663391,135.3486489,130.243763,132.342869,91533000
16-06-2022,128.1741791,130.4703968,127.1689645,130.1648941,108123900
17-06-2022,129.6524658,131.1504311,127.9278396,128.1840794,134520300
21-06-2022,133.8999481,135.0726961,131.3869339,131.4854749,81000500
22-06-2022,133.3875122,135.7625572,131.9683889,132.8356192,73409200
23-06-2022,136.2651978,136.5805502,133.6634763,134.8362246,72433800
24-06-2022,139.6060333,139.8524085,137.7434376,137.8715425,89116800
27-06-2022,139.6060333,141.4095014,138.9260354,140.6309474,70207900
28-06-2022,135.4472351,141.3405258,135.3289798,140.0692364,67083400
29-06-2022,137.2112732,138.6303968,134.6883935,135.4669476,66242400
30-06-2022,134.7376556,136.3637258,131.8304316,135.2599698,98964500
01-07-2022,136.9156342,137.0240399,133.693057,134.0675371,71051600
05-07-2022,139.5074768,139.5567548,134.9446037,135.7724358,73353800
06-07-2022,140.8477478,142.0303455,139.0344303,139.3005196,74064300
07-07-2022,144.2280426,144.4251397,141.202548,141.2123976,66253700
08-07-2022,144.9080353,145.4106503,142.8976202,143.153845,64547800
11-07-2022,142.7694855,144.513826,141.6952933,143.5578891,63141600
